method,accuracy_mean,accuracy_std,f1_mean,f1_std
DETACH,0.8091358024691357,0.010533693337136578,0.8096728089041259,0.009990455425749811
SelectKBest matched-budget,0.7755555555555556,0.014618034682089564,0.7866236614121196,0.00855725322025885
