seed,accuracy,f1_score,alpha
0,0.7975308641975308,0.7908163265306123,1000.0
1,0.7814814814814814,0.7806691449814126,1000.0
2,0.7962962962962963,0.7970479704797048,1000.0
3,0.7703703703703704,0.7720588235294118,1000.0
4,0.7925925925925926,0.7910447761194029,1000.0
5,0.7950617283950617,0.7945544554455446,1000.0
6,0.7753086419753087,0.7753086419753087,1000.0
7,0.7876543209876543,0.7876543209876543,1000.0
8,0.7962962962962963,0.7995139732685298,1000.0
9,0.7987654320987654,0.7965043695380774,1000.0
