seed,features,accuracy_detach,f1_detach,alpha_detach,accuracy_selectkbest,f1_selectkbest,alpha_selectkbest,acc_diff,f1_diff
0,153,0.8098765432098766,0.8121951219512196,215.44346900318823,0.7580246913580246,0.7802690582959642,46.41588833612773,0.05185185185185193,0.03192606365525541
1,405,0.808641975308642,0.8093480934809348,1000.0,0.7679012345679013,0.7798594847775175,215.44346900318823,0.040740740740740744,0.029488608703417296
2,405,0.8246913580246914,0.8238213399503722,1000.0,0.7777777777777778,0.7857142857142857,215.44346900318823,0.04691358024691361,0.03810705423608651
3,497,0.7950617283950617,0.7960687960687961,1000.0,0.7765432098765432,0.7863046044864227,215.44346900318823,0.01851851851851849,0.009764191582373405
4,1253,0.8074074074074075,0.806930693069307,1000.0,0.7975308641975308,0.8009708737864077,1000.0,0.009876543209876631,0.005959819282899237
