Model,Features,Accuracy,F1-score
Full ROCKET,20000,0.8024691358024691,0.8058252427184466
DETACH-ROCKET,789,0.8148148148148148,0.8152709359605911
Random Pruning,789,0.7907407407407407,0.790255799462978
SelectKBest,789,0.8061728395061728,0.8092345078979344
Raw Ridge,500,0.4888888888888889,0.47058823529411764
