seed,features,accuracy,f1,alpha
0,153,0.8098765432098766,0.8121951219512196,215.44346900318823
1,405,0.808641975308642,0.8093480934809348,1000.0
2,405,0.8246913580246914,0.8238213399503722,1000.0
3,497,0.7950617283950617,0.7960687960687961,1000.0
4,1253,0.8074074074074075,0.806930693069307,1000.0
